epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,3434.93,1.02856,2.44414,0.50428,0.67372,1.12036,1,0.89737,0.9747,0.7321,0.99834,0.87671,0.8991,0.68465,1.05128,1.97963,0.331,0.55539,1.12676,0.0006436,0.0006436,0.0006436
38,3532.32,1.00619,2.2373,0.52725,0.63847,1.11195,0.9822,0.91781,0.9672,0.69682,0.9963,0.87671,0.90811,0.69263,1.16162,1.94356,0.32943,0.57823,1.18822,0.0006337,0.0006337,0.0006337
39,3625.24,0.97536,1.9602,0.48924,0.6326,1.09351,0.99662,0.89041,0.95644,0.68377,0.98129,0.87671,0.90103,0.69548,1.21979,1.96305,0.33558,0.5874,1.17665,0.0006238,0.0006238,0.0006238
40,3714.17,0.97124,1.93648,0.51503,0.62585,1.10079,0.9862,0.91781,0.97285,0.72066,0.98457,0.87418,0.91436,0.72436,1.07272,1.67898,0.33308,0.57946,1.11418,0.0006139,0.0006139,0.0006139
41,3803.13,1.10868,2.14066,0.51431,0.67885,1.15159,0.97916,0.9589,0.98401,0.68351,1,0.8886,0.93206,0.70363,1.19058,1.73501,0.33305,0.57919,1.17998,0.000604,0.000604,0.000604
42,3896.99,0.99198,2.12081,0.5392,0.75911,1.10328,0.98588,0.95677,0.97888,0.69246,0.98468,0.88055,0.9142,0.71758,1.19428,1.84613,0.33491,0.56699,1.17966,0.0005941,0.0005941,0.0005941
43,3989.23,1.02903,2.22389,0.54403,0.69841,1.10239,0.97321,0.9589,0.97753,0.62214,0.97411,0.87671,0.92818,0.70253,1.48297,1.83971,0.33177,0.63209,1.31859,0.0005842,0.0005842,0.0005842
44,4078.49,0.99814,1.93644,0.50806,0.61526,1.11284,0.97203,0.93151,0.97604,0.69398,0.98749,0.86301,0.91481,0.69502,1.18529,1.78122,0.32539,0.56325,1.15882,0.0005743,0.0005743,0.0005743
45,4167.84,0.89812,1.85165,0.50548,0.5753,1.0633,0.99349,0.91781,0.97265,0.69584,1,0.87325,0.91801,0.66897,1.19793,1.77582,0.32718,0.57359,1.18205,0.0005644,0.0005644,0.0005644
46,4256.7,0.94409,2.0654,0.49018,0.59007,1.07887,0.958,0.93747,0.97838,0.7381,0.9932,0.87671,0.90905,0.71336,0.98609,1.68207,0.32828,0.53879,1.07516,0.0005545,0.0005545,0.0005545
47,4346.59,0.96085,1.96702,0.52051,0.59447,1.07258,0.98546,0.92868,0.97968,0.77333,0.9923,0.87671,0.92107,0.7096,0.91815,1.68489,0.33304,0.5314,1.04572,0.0005446,0.0005446,0.0005446
48,4440.1,0.95805,1.96219,0.50541,0.61072,1.08314,0.98548,0.92963,0.97094,0.77965,0.98438,0.86304,0.88903,0.7057,0.89835,1.80854,0.33311,0.52919,1.04491,0.0005347,0.0005347,0.0005347
49,4538.4,0.92443,1.97621,0.50743,0.60943,1.06716,0.95778,0.93223,0.97232,0.76528,0.98333,0.87671,0.9009,0.68416,0.92091,1.86307,0.33295,0.50315,1.05909,0.0005248,0.0005248,0.0005248
50,4628.05,0.90773,1.8224,0.50856,0.5967,1.08439,0.99407,0.91781,0.97734,0.75535,0.97043,0.89929,0.91266,0.7156,0.91119,1.60116,0.33622,0.49307,1.0461,0.0005149,0.0005149,0.0005149
